frame_diff,frame_number,side,Rally,,
1,3678,right,,,
1,3679,right,,,
1,3680,right,,,
1,3681,right,,,
1,3682,right,,,
2,3684,right,,,
1,3685,right,,,
1,3686,right,,,
1,3687,right,,,
1,3688,right,,,
1,3689,left,,,
1,3690,left,,,
1,3691,left,,,
1,3692,left,,,
1,3693,left,,,
1,3694,left,,,
1,3695,left,,,
1,3696,left,,,
1,3697,left,,,
1,3704,right,,,
1,3705,right,,,
1,3706,right,,,
2,3708,right,,,
1,3709,right,,,
1,3710,right,,,
1,3711,right,,,
1,3712,right,,,
1,3713,right,,,
1,3714,right,,,
1,3715,right,,,
1,3716,left,,,
1,3717,left,,,
1,3718,left,,,
1,3719,left,,,
1,3720,left,,,
1,3721,left,,,
1,3722,left,,,
1,3723,left,,,
3,3726,left,,,
1,3727,left,,,
1,3730,right,,,
1,3731,right,,,
1,3732,right,,,
1,3733,right,,,
1,3734,right,,,
1,3735,right,,,
1,3736,right,,,
1,3737,right,,,
1,3738,right,,,
1,3739,right,,,
1,3740,right,,,
2,3748,left,,,
1,3749,left,,,
1,3750,left,,,
1,3751,left,,,
1,3752,left,,,
4,3756,left,,,
1,3757,left,,,
1,3758,left,,,
1,3760,right,,,
1,3761,right,,,
1,3762,right,,,
1,3763,right,,,
1,3764,right,,,
1,3765,right,,,
1,3766,right,,,
1,3767,right,,,
1,3768,right,,,
2,3773,right,,,
2,3775,right,,,
1,3776,left,,,
1,3777,left,,,
1,3778,left,,,
1,3779,left,,,
1,3780,left,,,
1,3781,left,,,
1,3782,left,,,
5,3787,left,,,
1,3788,left,,,
1,3790,right,,,
1,3791,right,,,
1,3792,right,,,
1,3793,right,,,
2,3795,right,,,
1,3796,right,,,
1,3797,right,,,
1,3798,right,,,
1,3799,right,,,
4,3803,right,,,
1,3804,right,,,
3,3807,left,,,
1,3808,left,,,
1,3809,left,,,
1,3810,left,,,
5,3815,left,,,
1,3816,left,,,
1,3818,right,,,
1,3819,right,,,
1,3820,right,,,
1,3821,right,,,
1,3822,right,,,
1,3823,right,,,
1,3824,right,,,
1,3825,right,,,
1,3826,right,,,
1,3827,right,,,
1,3828,right,,,
1,3829,right,,,
1,3830,right,,,
1,3831,left,,,
1,3832,left,,,
1,3833,left,,,
1,3834,left,,,
2,3836,left,,,
1,3837,left,,,
1,3838,left,,,
1,3839,left,,,
3,3842,left,,,
1,3843,left,,,
1,3844,left,,,
1,3845,left,,,
1,3847,right,,,
1,3848,right,,,
1,3849,right,,,
1,3850,right,,,
